"group1","group2","estimate","conf.level","conf.low","conf.high","p.value","p.adjust.method","test"
"Area","Banding",-1.15857502298007,0.95,-1.80710746799608,-0.510042577964059,6.2586215276994e-07,"Holm","Yuen's trimmed means"
"Area","Historical",1.56535239608397,0.95,1.26954838038436,1.86115641178357,0,"Holm","Yuen's trimmed means"
"Area","Incidental",1.49065268124386,0.95,1.19759860223068,1.78370676025705,0,"Holm","Yuen's trimmed means"
"Area","International Shorebird Survey (ISS)",-1.09716887934061,0.95,-2.1176804613432,-0.0766572973380306,0.0191552578308318,"Holm","Yuen's trimmed means"
"Area","Nocturnal Flight Call Count",-1.50247395630426,0.95,-2.05523381325373,-0.94971409935478,0,"Holm","Yuen's trimmed means"
"Area","Stationary",1.46372255950256,0.95,1.17206602528516,1.75537909371995,0,"Holm","Yuen's trimmed means"
"Area","Traveling",2.03141864798995,0.95,1.74089230190292,2.32194499407698,0,"Holm","Yuen's trimmed means"
"Banding","Historical",2.72392741906403,0.95,2.13356631175183,3.31428852637624,0,"Holm","Yuen's trimmed means"
"Banding","Incidental",2.64922770422393,0.95,2.06070476351883,3.23775064492904,0,"Holm","Yuen's trimmed means"
"Banding","Stationary",2.62229758248262,0.95,2.03453582313364,3.21005934183161,0,"Holm","Yuen's trimmed means"
"Banding","Traveling",3.18999367097002,0.95,2.6028227846498,3.77716455729023,0,"Holm","Yuen's trimmed means"
"eBird Pelagic Protocol","Historical",2.17513806843162,0.95,1.4604655244868,2.88981061237643,4.35207425653061e-14,"Holm","Yuen's trimmed means"
"eBird Pelagic Protocol","Incidental",2.10043835359152,0.95,1.3880693509251,2.81280735625793,1.49213974509621e-13,"Holm","Yuen's trimmed means"
"eBird Pelagic Protocol","Nocturnal Flight Call Count",-0.892688283956604,0.95,-1.73208580927466,-0.0532907586385457,0.0196920057265686,"Holm","Yuen's trimmed means"
"eBird Pelagic Protocol","Stationary",2.07350823185021,0.95,1.36121625457602,2.78580020912439,2.50466314355435e-13,"Holm","Yuen's trimmed means"
"eBird Pelagic Protocol","Traveling",2.6412043203376,0.95,1.92922745824675,3.35318118242845,0,"Holm","Yuen's trimmed means"
"Historical","International Shorebird Survey (ISS)",-2.66252127542458,0.95,-3.66627932884388,-1.65876322200528,1.79409597178548e-07,"Holm","Yuen's trimmed means"
"Historical","Nocturnal Flight Call Count",-3.06782635238822,0.95,-3.54859804117261,-2.58705466360383,0,"Holm","Yuen's trimmed means"
"Historical","Stationary",-0.101629836581409,0.95,-0.191683184092489,-0.0115764890703293,0.00882389237055925,"Holm","Yuen's trimmed means"
"Historical","Traveling",0.466066251905983,0.95,0.379750907556496,0.552381596255471,0,"Holm","Yuen's trimmed means"
"Incidental","International Shorebird Survey (ISS)",-2.58782156058448,0.95,-3.58939117280735,-1.58625194836161,2.84484565682419e-07,"Holm","Yuen's trimmed means"
"Incidental","Nocturnal Flight Call Count",-2.99312663754812,0.95,-3.47201605355978,-2.51423722153646,0,"Holm","Yuen's trimmed means"
"Incidental","Traveling",0.540765966746085,0.95,0.467604516976743,0.613927416515426,0,"Holm","Yuen's trimmed means"
"International Shorebird Survey (ISS)","Stationary",2.56089143884317,0.95,1.55826591467085,3.56351696301549,3.31564476319102e-07,"Holm","Yuen's trimmed means"
"International Shorebird Survey (ISS)","Traveling",3.12858752733056,0.95,2.12500250954211,4.13217254511902,1.48896055485181e-08,"Holm","Yuen's trimmed means"
"Nocturnal Flight Call Count","Stationary",2.96619651580681,0.95,2.4873991853075,3.44499384630613,0,"Holm","Yuen's trimmed means"
"Nocturnal Flight Call Count","Traveling",3.5338926042942,0.95,3.0563499534472,4.0114352551412,0,"Holm","Yuen's trimmed means"
"Stationary","Traveling",0.567696088487392,0.95,0.50018419062212,0.635207986352664,0,"Holm","Yuen's trimmed means"
